source_file_id,file_path,status,keterangan,sample_rate,channels,duration_s
LA_T_1138215,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1138215.flac,lolos,,16000,1,3.4580625
LA_T_1271820,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1271820.flac,lolos,,16000,1,4.3951875
LA_T_1272637,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1272637.flac,lolos,,16000,1,2.8995
LA_T_1276960,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1276960.flac,lolos,,16000,1,2.8125625
LA_T_1341447,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1341447.flac,lolos,,16000,1,3.5331875
LA_T_1363611,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1363611.flac,lolos,,16000,1,2.25725
LA_T_1596451,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1596451.flac,lolos,,16000,1,2.1255625
LA_T_1608170,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1608170.flac,lolos,,16000,1,2.0034375
LA_T_1684951,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1684951.flac,lolos,,16000,1,3.7916875
LA_T_1699801,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac,lolos,,16000,1,3.240875
LA_T_1703395,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1703395.flac,lolos,,16000,1,3.368625
LA_T_1736342,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1736342.flac,lolos,,16000,1,3.0668125
LA_T_1779188,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1779188.flac,lolos,,16000,1,2.4703125
LA_T_1786825,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1786825.flac,lolos,,16000,1,3.0643125
LA_T_1787246,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1787246.flac,lolos,,16000,1,2.8103125
LA_T_1905558,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1905558.flac,lolos,,16000,1,3.0305625
LA_T_2205687,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2205687.flac,lolos,,16000,1,3.1939375
LA_T_2220901,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2220901.flac,lolos,,16000,1,3.66425
LA_T_2361751,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2361751.flac,lolos,,16000,1,2.3
LA_T_2373806,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2373806.flac,lolos,,16000,1,2.895375
LA_T_2417641,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2417641.flac,lolos,,16000,1,2.72725
LA_T_2520083,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2520083.flac,lolos,,16000,1,3.15975
LA_T_2562689,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2562689.flac,lolos,,16000,1,4.562125
LA_T_2564579,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2564579.flac,lolos,,16000,1,2.8116875
LA_T_2732709,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2732709.flac,lolos,,16000,1,3.829875
LA_T_2759900,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2759900.flac,lolos,,16000,1,4.0530625
LA_T_2838981,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2838981.flac,lolos,,16000,1,4.222875
LA_T_2873890,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2873890.flac,lolos,,16000,1,2.5980625
LA_T_2938316,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2938316.flac,lolos,,16000,1,2.3913125
LA_T_3131990,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3131990.flac,lolos,,16000,1,4.43325
