source_file_id,file_path,speaker_id,label,attack_id,dataset,split,attack_role
LA_T_1138215,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1138215.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1271820,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1271820.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1272637,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1272637.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1276960,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1276960.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1341447,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1341447.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1363611,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1363611.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1596451,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1596451.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1608170,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1608170.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1684951,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1684951.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1699801,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1703395,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1703395.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1736342,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1736342.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1779188,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1779188.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1786825,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1786825.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1787246,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1787246.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_1905558,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_1905558.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2205687,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2205687.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2220901,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2220901.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2361751,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2361751.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2373806,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2373806.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2417641,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2417641.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2520083,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2520083.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2562689,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2562689.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2564579,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2564579.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2732709,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2732709.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2759900,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2759900.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2838981,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2838981.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2873890,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2873890.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_2938316,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_2938316.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3131990,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3131990.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3141223,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3141223.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3167734,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3167734.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3187715,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3187715.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3215578,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3215578.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3247389,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3247389.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3346004,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3346004.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3441957,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3441957.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3561136,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3561136.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3576775,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3576775.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3580508,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3580508.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3635733,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3635733.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3636245,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3636245.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3810183,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3810183.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3849267,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3849267.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3995089,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3995089.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3999087,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3999087.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_3999267,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_3999267.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4053835,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4053835.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4118798,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4118798.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4155454,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4155454.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4179989,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4179989.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4197307,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4197307.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4237787,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4237787.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4239283,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4239283.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4244329,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4244329.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4339311,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4339311.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4362109,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4362109.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4428691,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4428691.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4752788,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4752788.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4756464,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4756464.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_4822766,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_4822766.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5096578,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5096578.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5161420,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5161420.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5191549,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5191549.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5337549,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5337549.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5387852,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5387852.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
LA_T_5521272,data/raw/LA/ASVspoof2019_LA_train/flac/LA_T_5521272.flac,LA_0079,0,-,ASVspoof2019_LA,train,bonafide
